,Dominant_Topic,Perc_Contribution,Topic_Keywords,0
119,2.0,0.1581,"man, woman, time, be, get, help, year, good, need, friend","[u'french', u'woman', u'rally', u'sexual', u'abuse', u'banner', u'abc', u'news']"
120,2.0,0.1591,"man, woman, time, be, get, help, year, good, need, friend","[u'poster', u'child', u'boy', u'club']"
121,2.0,0.1583,"man, woman, time, be, get, help, year, good, need, friend","[u'hide', u'hole', u'leave', u'asia', u'american', u'deal', u'fallout', u'have', u'never', u'pay', u'price', u'action']"
122,2.0,0.1592,"man, woman, time, be, get, help, year, good, need, friend","[u'crime', u'become', u'civil', u'action', u'predator', u'need', u'go', u'jail']"
123,2.0,0.1615,"man, woman, time, be, get, help, year, good, need, friend","[u'ehen', u'person', u'speak', u'never', u'late']"
124,2.0,0.1641,"man, woman, time, be, get, help, year, good, need, friend","[u'work', u'company', u'allow', u'woman', u'take', u'client', u'dinner', u'alcohol', u'go', u'serve', u'never', u'alone']"
125,2.0,0.1615,"man, woman, time, be, get, help, year, good, need, friend","[u'sympathy', u'support', u'brave', u'hashtag']"
126,2.0,0.1589,"man, woman, time, be, get, help, year, good, need, friend","[u'far', u'many', u'woman', u'use', u'hashtag', u'ignore', u'sexual', u'assault', u'harassment', u'must', u'stop', u'man']"
127,2.0,0.1596,"man, woman, time, be, get, help, year, good, need, friend",[u'know']
128,2.0,0.1586,"man, woman, time, be, get, help, year, good, need, friend","[u'consent', u'case', u'confuse']"
129,2.0,0.1607,"man, woman, time, be, get, help, year, good, need, friend","[u'man', u'puzzle', u'think', u'man', u'asshol', u'eg', u'tl', u'full', u'misogyny', u'racism', u'behave', u'woman']"
130,2.0,0.1596,"man, woman, time, be, get, help, year, good, need, friend","[u'surprise', u'surprise']"
131,2.0,0.163,"man, woman, time, be, get, help, year, good, need, friend","[u'better', u'late', u'never', u'appreciate', u'support', u'guy', u'go', u'long', u'time', u'long']"
132,2.0,0.1577,"man, woman, time, be, get, help, year, good, need, friend","[u'feel', u'guilty', u'bc', u'afraid', u'freeze', u'guilt', u'blame', u'lie', u'man', u'think', u'right', u'violate', u'human']"
133,2.0,0.1569,"man, woman, time, be, get, help, year, good, need, friend","[u'sexual', u'harassman', u'abt', u'sex', u'power', u'control', u'humiliation', u'violation', u'act', u'violence', u'course', u'afraid']"
134,2.0,0.1601,"man, woman, time, be, get, help, year, good, need, friend","[u'freeze', u'bc', u'afraid', u'freeze', u'bc', u'know', u'freeze', u'bc', u'fear', u'fight', u'die']"
135,2.0,0.1727,"man, woman, time, be, get, help, year, good, need, friend","[u'man', u'post', u'day', u'ago', u'story', u'best', u'see', u'man', u'get', u'listen']"
136,2.0,0.1578,"man, woman, time, be, get, help, year, good, need, friend","[u'shock', u'surprised', u'large', u'number', u'woman', u'sexually', u'assault', u'rap', u'outraged']"
137,2.0,0.1573,"man, woman, time, be, get, help, year, good, need, friend","[u'treat', u'heart', u'due', u'respect', u'truly', u'carry', u'beat', u'universe']"
138,2.0,0.1618,"man, woman, time, be, get, help, year, good, need, friend","[u'lesen', u'sie', u'feldart', u'today', u'dienstag', u'okt']"
139,2.0,0.1623,"man, woman, time, be, get, help, year, good, need, friend","[u'feldart', u'today', u'wurde', u'gerade', u'veroffentlicht']"
140,2.0,0.1596,"man, woman, time, be, get, help, year, good, need, friend","[u'sexuelle', u'belastigung', u'fast', u'jede', u'zweite', u'frau', u'deutschland', u'betroffen']"
141,2.0,0.1597,"man, woman, time, be, get, help, year, good, need, friend","[u'mannerrecht', u'verein', u'sieht', u'manner', u'unter', u'generalverdacht']"
142,2.0,0.1597,"man, woman, time, be, get, help, year, good, need, friend","[u'einmal', u'habe', u'ich', u'mit', u'meinen', u'high', u'heel', u'zugetreten']"
143,2.0,0.1623,"man, woman, time, be, get, help, year, good, need, friend","[u'feldart', u'today', u'wurde', u'gerade', u'veroffentlicht']"
144,2.0,0.1591,"man, woman, time, be, get, help, year, good, need, friend","[u'polizei', u'los', u'angele', u'ermittelt', u'gegen', u'harvey_weinstein']"
145,2.0,0.1586,"man, woman, time, be, get, help, year, good, need, friend","[u'walk', u'shame', u'harvey_weinstein']"
146,2.0,0.1614,"man, woman, time, be, get, help, year, good, need, friend","[u'man', u'kann', u'sich', u'gar', u'nicht', u'genug', u'emporen']"
147,2.0,0.1601,"man, woman, time, be, get, help, year, good, need, friend","[u'late', u'mfking']"
148,2.0,0.1571,"man, woman, time, be, get, help, year, good, need, friend","[u'floods_social', u'medium', u'story', u'harassment', u'assault', u'anna', u'codrea', u'rado', u'nyt']"
149,2.0,0.1567,"man, woman, time, be, get, help, year, good, need, friend","[u'thank', u'courage', u'truth', u'story', u'help', u'voice', u'know', u'what', u's', u'happen', u'widespread', u'fault', u'must', u'end', u'culture', u'abuse', u'predatory', u'sexual', u'assault', u'youth']"
150,2.0,0.1611,"man, woman, time, be, get, help, year, good, need, friend","[u'time', u'feel', u'overpower', u'defeat', u'shameful']"
151,2.0,0.1582,"man, woman, time, be, get, help, year, good, need, friend","[u'violenc', u'assault', u'harassment', u'despicable', u'st', u'happen', u'yr_old', u'hear', u'assault', u'teen', u'daughter', u'friend', u'suffer', u'vow', u'voice', u'protect']"
152,2.0,0.1628,"man, woman, time, be, get, help, year, good, need, friend","[u'hero', u'everywhere', u'show', u'generation', u'find']"
153,2.0,0.1661,"man, woman, time, be, get, help, year, good, need, friend","[u'woman', u'girl', u'must', u'never', u'give', u'voice']"
154,2.0,0.1576,"man, woman, time, be, get, help, year, good, need, friend","[u'sexual', u'predator', u'make', u'sick', u'excuse', u'choose', u'prey', u'child', u'sexual', u'gratification', u'be', u'glad', u'light', u'shin', u'brightly', u'evil', u'beast', u'longer']"
155,2.0,0.1604,"man, woman, time, be, get, help, year, good, need, friend","[u'love', u'assumption', u'people', u'mean', u'bill_clinton', u'woman', u'get', u'harass', u'many', u'man', u'lifetime', u'that', u's', u'point']"
156,2.0,0.1599,"man, woman, time, be, get, help, year, good, need, friend","[u'heart', u'break', u'everywhere', u'female', u'friend', u'heart', u'go', u'female']"
157,2.0,0.1789,"man, woman, time, be, get, help, year, good, need, friend","[u'time', u'time', u'man', u'randomly', u'pull', u'ck', u'front', u'warning', u'idk', u'thing', u'generally', u'avoid', u'situation', u'fuck', u'reaction', u'genital']"
158,2.0,0.1611,"man, woman, time, be, get, help, year, good, need, friend","[u'might_give', u'people', u'sense', u'woman', u'already', u'know', u'live', u'day', u'man', u'ignore', u'support']"
159,2.0,0.1581,"man, woman, time, be, get, help, year, good, need, friend","[u'woman', u'sexually_harass', u'assaulted_wrote', u'might_give', u'people', u'sense', u'magnitude', u'problem']"
160,2.0,0.1682,"man, woman, time, be, get, help, year, good, need, friend","[u'would', u'say', u'time', u'thank', u'brave', u'woman', u'world', u'alone']"
161,2.0,0.1579,"man, woman, time, be, get, help, year, good, need, friend","[u'wish', u'could', u'say', u'nt', u'victim', u'victim', u'ask', u'spread', u'wide', u'far', u'woman', u'tired', u'survivin']"
162,2.0,0.1594,"man, woman, time, be, get, help, year, good, need, friend","[u'bravo', u'gretchen', u'standing', u'ps', u'anoka', u'tornado']"
163,2.0,0.1584,"man, woman, time, be, get, help, year, good, need, friend","[u'senators_share', u'sex', u'harassment', u'story']"
164,2.0,0.1657,"man, woman, time, be, get, help, year, good, need, friend",[u'woman']
