,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
2945,2945,17.0,0.18359999358654022,"harass, say, sexually, almost, seem, ask, guy, woman, place, think","['time', 'quiet', 'library', 'stack', 'work', 'college', 'party', 'relative', 'street', 'several', 'country', 'knife', 'point']"
2946,2946,1.0,0.3091999888420105,"well, day, ago, lose, pain, who, idea, say, suppose, have","['take', 'back', 'night', 'tonight', 'pm', 'kochoff', 'university', 'center', 'join']"
2947,2947,4.0,0.39239999651908875,"alone, believe, support, turn, respect, fault, ppl, party, survivor, shit","['silence', 'way', 'long', 'believe', 'fault', 'alone']"
2948,2948,3.0,0.22769999504089355,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['trainor', 'release', 'song', 'yrs', 'ever', 'tweetin']"
2949,2949,15.0,0.29750001430511475,"world, go, truth, wait, allow, courage, date, finally, rape, viral","['hash', 'tag', 'let', 'world', 'know', 'imagine']"
2950,2950,33.0,0.5770000219345093,"campaign, many, time, week, come_forward, alyssa_milano, teach, black_woman, woman, white","['go', 'detail', 'say', 'old', 'happen']"
2951,2951,28.0,0.22130000591278076,"listen, always, may, ever, afraid, roy_moore, reason, include, stranger, sound","['lifttime', 'be', 'afraid']"
2952,2952,24.0,0.23190000653266907,"mean, hear, everywhere, son, trigger, understand, grab, spread, sexual, dear","['hear', 'word', 'rape', 'word', 'sexual', 'asdult', 'trigger', 'period']"
2953,2953,4.0,0.39879998564720154,"alone, believe, support, turn, respect, fault, ppl, party, survivor, shit","['sister', 'fault', 'believe', 'alone']"
2954,2954,3.0,0.31220000982284546,"woman, hashtag, speak, know, movement, many, experience, talk, story, name","['job', 'social', 'org', 'time', 'stand', 'change', 'perception', 'time', 'voice']"
2955,2955,30.0,0.4489000141620636,"strong, today, send, instead, personal, flood, lead, sometimes, story, affect","['wish', 'support', 'button', 'could', 'click', 'strong', 'brave', 'woman', 'post', 'online', 'today', 'believe', 'believe']"
2956,2956,15.0,0.18459999561309814,"world, go, truth, wait, allow, courage, date, finally, rape, viral","['christian', 'woman', 'sick', 'tired', 'faith', 'twist', 'abuse', 'extremist', 'man', 'power', 'subjugation', 'rape', 'force', 'marriage', 'girl', 'name', 'criminal']"
2957,2957,5.0,0.2508000135421753,"late, daily, longer, claim, america, treat, explain, actress, history, address","['college', 'boy', 'take', 'penis', 'start', 'masterbate', 'front', 'graduate', 'library']"
2958,2958,15.0,0.17739999294281006,"world, go, truth, wait, allow, courage, date, finally, rape, viral","['science', 'fair', 'photographer', 'ask', 'lean', 'show', 'shoulder', 'next', 'project']"
2959,2959,17.0,0.2777000069618225,"harass, say, sexually, almost, seem, ask, guy, woman, place, think","['college', 'graduate', 'instructor', 'would', 'throw', 'backpack', 'semester', 'ask']"
2960,2960,6.0,0.21660000085830688,"trend, action, violence, sexual, proud, survivor, male, accuser, liar, question","['drunk', 'security', 'guard', 'insist', 'dance', 'middle', 'dance', 'weird', 'one', 'stop']"
2961,2961,19.0,0.4097999930381775,"one, father, leave, college, quiet, run, new, scar, meet, ill","['father', 'touch', 'know', 'run', 'away']"
2962,2962,27.0,0.43939998745918274,"sorry, be, bring, sister, tour, female, ass, hug, person, truly","['choice', 'never', 'choice']"
